referer,response,status
http://rinkworks.com/slapdash/broken.shtml,http://rinkworks.com/moc.rorrim.www//:ptth,404
http://rinkworks.com/slapdash/broken.shtml,http://www.rinkworks.com/broken.link.number.one/,404
